,game_id,red_win,total_moves
570,mNady6,0.0,106
571,ROq5Bl,0.0,84
572,3gZ6YO,0.0,68
573,g2QjwY,0.0,58
574,noyjbV,0.0,92
575,OWPVmg,0.0,58
576,pwjpzW,0.5,100
577,yM6RWN,0.0,26
578,OWKgkz,0.0,80
579,NRGjvL,0.0,60
580,PN3Bw3,0.0,48
581,GEmVGV,0.0,14
582,mNJJAM,0.0,10
583,bQgoYQ,0.0,44
584,NRajN0,1.0,47
585,bQaNKb,1.0,53
586,g2porp,1.0,43
587,j6o1bX,0.0,42
588,9ZJk1l,0.0,128
589,3gLXv3,0.0,30
590,QEdVNj,1.0,117
591,LwrRdR,1.0,71
592,vRE0Q1,1.0,39
593,lR31n5,1.0,55
594,1oRNJQ,1.0,43
595,3gR0B5,0.0,88
596,1oRO0X,1.0,137
597,4aZopn,0.5,169
598,YObRg9,1.0,67
599,oOeye3,1.0,83
600,zwp6gy,0.0,12
601,NRQPY5,0.0,58
602,JKadoE,1.0,101
603,MNnpRJ,0.0,84
604,ROLZ0p,1.0,50
605,ROLKjN,0.0,74
606,QE3BvW,0.0,39
607,PNPOPO,1.0,36
608,noJblV,0.0,24
609,lR6EPJ,0.5,65
610,6ovJYL,0.5,66
611,qRR0wb,0.0,56
612,LwwKm2,1.0,109
613,YOOMkZ,0.0,86
614,9ZZKMr,0.0,82
615,KNNAJE,0.0,66
616,3ggy93,0.0,64
617,w5oEve,0.0,34
618,Lwomk4,0.0,44
619,1oo1Eb,0.0,78
620,Akl04d,0.0,38
621,WwEXpq,0.5,23
622,noKaqd,0.0,76
623,VOKQA0,0.0,78
624,g2K9P1,0.0,45
625,NReoog,0.0,39
626,mNz34a,0.0,104
627,pw6vPX,0.0,42
628,6oJbrE,1.0,103
629,PN6YY9,0.0,29
630,4akA2N,0.5,113
631,oOEmy3,0.0,50
632,PN6nOp,0.5,101
633,oOB4AX,0.0,60
634,krJm2W,0.0,82
635,JKPdRk,0.0,78
636,dP3G4P,0.5,152
637,KN5V9v,1.0,171
638,JKlQ5z,0.0,56
639,0aPpEp,0.0,42
640,rRz4YM,1.0,25
641,1o3gwb,0.0,50
642,0aPNB6,0.0,90
643,GEqdeb,0.0,90
644,MN9AYP,1.0,95
645,vRz12j,0.0,111
646,3gWvQ3,0.0,56
647,bQGpGB,0.0,50
648,3gWNNd,0.0,65
649,KN6EB5,1.0,43
650,noN9gd,0.0,59
651,oOoVgy,1.0,35
652,e3dZgN,1.0,15
653,3gL4Qv,0.0,46
654,WwQ0gA,0.0,60
655,rRAnlZ,1.0,45
656,noN1v1,1.0,41
657,XK5l2y,1.0,39
658,vRA121,0.0,60
659,9ZJPMe,0.0,12
660,0aGRBM,1.0,51
661,9ZJy9m,0.0,20
662,Ak524N,0.0,86
663,ElPM5P,1.0,67
664,2m3MMv,0.0,42
665,GELoZP,1.0,29
666,ZO3zjY,0.0,40
667,0aGQzM,0.0,62
668,qRwqRR,0.5,6
669,dPEX33,1.0,25
670,ElPVoy,1.0,35
671,GELomG,0.0,12
672,4a2E0Z,0.0,49
673,vRABNz,1.0,54
674,2m3113,1.0,55
675,anJXKq,0.0,38
676,3gL1Kv,1.0,15
677,LwrqWb,1.0,51
678,6oBkKy,1.0,67
679,6oBkzL,1.0,72
680,5o4QQ3,0.0,78
681,NRA0VO,0.0,66
682,j6GRbM,0.0,34
683,5o4Q1V,1.0,63
684,pwBl02,1.0,45
685,9ZRNqm,0.0,50
686,9ZRjpV,0.0,50
687,2mRyo5,1.0,9
688,Ww9lK2,1.0,54
689,g2mqjO,0.0,76
690,4a4dAa,0.0,112
691,e32pPb,0.0,64
692,MN4NL0,0.0,56
693,ZOlq2m,0.5,66
694,OWlPQy,0.0,42
695,lRknM9,0.0,50
696,krRKXv,0.5,104
697,2mBvwz,0.0,59
698,yMAyPA,0.0,76
699,YOK2WE,0.0,92
700,4a2n29,0.0,56
701,ZO36rP,0.0,132
702,w5Qk0k,0.0,64
703,RO5Vap,0.0,96
704,5oenXp,0.0,57
705,ROw4YY,0.0,85
706,3gRQ0r,0.0,44
707,j6GPAX,0.0,50
708,qR5dAR,1.0,97
709,0aWXlp,0.5,57
710,LwEKnm,0.0,54
711,ROw5KY,0.0,92
712,no23V5,1.0,73
